ILFORD;FP4 PLUS 125;125;B&W;ilford-fp4-plus-125.png;ILFORD;ILFORD FP4 PLUS 125 Black & White Film
ILFORD;HP5 PLUS 400;400;B&W;ilford-hp5-plus-400.png;ILFORD;ILFORD HP5 PLUS 400 Black & White Film
ILFORD;ORTHO PLUS 80;80;B&W;ilford-ortho-plus-80.png;ILFORD;ILFORD ORTHO PLUS 80 Black & White Film
ILFORD;Pan 100;100;B&W;ilford-pan-100.png;ILFORD;ILFORD PAN 100 Black & White Film
ILFORD;Pan 400;400;B&W;ilford-pan-400.png;ILFORD;ILFORD PAN 400 Black & White Film
ILFORD;PANF PLUS 50;50;B&W;ilford-panf-plus-50.png;ILFORD;ILFORD PAN F PLUS 50 Black & White Film
ILFORD;SFX 200;200;B&W;ilford-sfx-200.png;ILFORD;ILFORD SFX 200 Black & White Film
ILFORD;XP2 SUPER 400;400;B&W;ilford-xp2-super-400.png;ILFORD;ILFORD XP2 SUPER 400 Black & White Film
Kentmere;PAN 100;100;B&W;kentmere-pan-100.png;Kentmere;Kentmere PAN 100 Black & White Film
Kentmere;PAN 200;200;B&W;kentmere-pan-200.png;Kentmere;Kentmere PAN 200 Black & White Film
Kentmere;PAN 400;400;B&W;kentmere-pan-400.png;Kentmere;Kentmere PAN 400 Black & White Film
Kodak;AEROCOLOR IV 2460;125;Color Negative;kodak-aerocolor-iv-2460.png;Kodak;KODAK AEROCOLOR IV Negative Film 2460
Kodak;ColorPlus 200;200;Color Negative;kodak-colorplus-200.png;Kodak;KODAK ColorPlus 200 Color Negative Film
Kodak;EASTMAN DOUBLE-X 5222;250;B&W;kodak-eastman-double-x-5222.png;Kodak;EASTMAN DOUBLE-X Black & White Negative Film 5222
Kodak;Ektachrome 100D 5294;100;Slide;kodak-ektachrome-100d-5294.png;Kodak;KODAK EKTACHROME 100D Color Reversal Film 5294
Kodak;Ektachrome E100;100;Slide;kodak-ektachrome-e100.png;Kodak;KODAK PROFESSIONAL EKTACHROME E100 Color Reversal Film
